# harmonic_potential   x_max = 5.000   nx = 1001   N_iter = 16   beta_ini = 4.000   beta_fin = 0.000
,Position x,Prob. density
0,-5.0,1.7597766133429884e-13
1,-4.99,6.532081549086008e-13
2,-4.98,1.4414734072345e-12
3,-4.97,2.5458533856284837e-12
4,-4.96,3.976285372130184e-12
5,-4.95,5.74530648654505e-12
6,-4.94,7.868357042654652e-12
7,-4.93,1.0363865307855097e-11
8,-4.92,1.325337530284557e-11
9,-4.91,1.6561698022649168e-11
10,-4.9,2.031708828836131e-11
11,-4.89,2.4551448110288163e-11
12,-4.88,2.9300557739738875e-11
13,-4.87,3.460433577894177e-11
14,-4.86,4.0507129922823753e-11
15,-4.8500000000000005,4.7058040116795644e-11
16,-4.84,5.431127613315597e-11
17,-4.83,6.232655179644978e-11
18,-4.82,7.116951832682842e-11
19,-4.8100000000000005,8.091223952124006e-11
20,-4.8,9.1633711756809e-11
21,-4.79,1.0342043208056706e-10
22,-4.78,1.1636701794645203e-10
23,-4.7700000000000005,1.305768824754373e-10
24,-4.76,1.461629694497618e-10
25,-4.75,1.6324855260930237e-10
26,-4.74,1.819681041991526e-10
27,-4.73,2.0246823812380232e-10
28,-4.72,2.2490873349742006e-10
29,-4.71,2.494636448438611e-10
30,-4.7,2.763225056965793e-10
31,-4.69,3.0569163287917803e-10
32,-4.68,3.3779553931500377e-10
33,-4.67,3.728784638218767e-10
34,-4.66,4.112060269987209e-10
35,-4.65,4.530670230063262e-10
36,-4.64,4.987753577887815e-10
37,-4.63,5.486721450789574e-10
38,-4.62,6.031279723845778e-10
39,-4.61,6.625453500628383e-10
40,-4.6000000000000005,7.273613575665392e-10
41,-4.59,7.980505019889602e-10
42,-4.58,8.751278051490059e-10
43,-4.57,9.591521366523016e-10
44,-4.5600000000000005,1.0507298116377762e-09
45,-4.55,1.1505184732806718e-09
46,-4.54,1.2592312815784626e-09
47,-4.53,1.377641431502047e-09
48,-4.5200000000000005,1.5065870252531799e-09
49,-4.51,1.6469763251401876e-09
50,-4.5,1.7997934154755745e-09
51,-4.49,1.9661043039194764e-09
52,-4.48,2.147063494843931e-09
53,-4.47,2.343921069587342e-09
54,-4.46,2.5580303109170633e-09
55,-4.45,2.790855911630274e-09
56,-4.44,3.043982810001092e-09
57,-4.43,3.3191256977421226e-09
58,-4.42,3.6181392493037342e-09
59,-4.41,3.943029124697936e-09
60,-4.4,4.295963801605006e-09
61,-4.39,4.67928729632319e-09
62,-4.38,5.095532837169909e-09
63,-4.37,5.54743755825398e-09
64,-4.36,6.037958286109763e-09
65,-4.3500000000000005,6.5702884965441465e-09
66,-4.34,7.147876524225921e-09
67,-4.33,7.774445113027185e-09
68,-4.32,8.454012400972418e-09
69,-4.3100000000000005,9.19091443983505e-09
70,-4.3,9.98982935598653e-09
71,-4.29,1.0855803266079277e-08
72,-4.28,1.1794278068554344e-08
73,-4.2700000000000005,1.2811121239798528e-08
74,-4.26,1.3912657772082693e-08
75,-4.25,1.510570439922958e-08
76,-4.24,1.6397606265315917e-08
77,-4.23,1.779627620158803e-08
78,-4.22,1.9310236787231043e-08
79,-4.21,2.0948665380722215e-08
80,-4.2,2.2721442320253864e-08
81,-4.19,2.4639202504102475e-08
82,-4.18,2.671339057492545e-08
83,-4.17,2.895631994585095e-08
84,-4.16,3.138123592092694e-08
85,-4.15,3.4002383177959176e-08
86,-4.14,3.683507789811303e-08
87,-4.13,3.9895784843945366e-08
88,-4.12,4.320219970582146e-08
89,-4.11,4.6773337055884166e-08
90,-4.1,5.062962426901473e-08
91,-4.09,5.479300179165697e-08
92,-4.08,5.928703016201621e-08
93,-4.07,6.413700420888142e-08
94,-4.0600000000000005,6.937007488133555e-08
95,-4.05,7.501537918811878e-08
96,-4.04,8.110417875308068e-08
